R48 L 路 升温三候选量探针　场转储（每片按 x 列的廓线：x 区间 / 有料面积 / 面积加权平均温度）　开跑 2026-09-17 00:00:28　2026-09-16 Opus 5
── 设定点 300 °C　夹头 100 °C　片 0「入口」　T管根 335.1355 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	475.458863
5	-96.165678	-85.165678	660	561.48346
6	-85.165678	-75.51206	579.21708	639.266901
7	-75.51206	-68.0862	445.5516	680.512068
8	-68.0862	-62.374	342.732	701.569909
9	-62.374	-57.98	263.64	712.455073
10	-57.98	-54.6	202.8	718.004064
11	-54.6	-52	156	720.698787
12	-52	-50	120	721.867569
13	-50	-48	120	722.286026
14	-48	-46	120	722.107518
15	-46	-44	120	721.327562
16	-44	-42	120	719.935734
17	-42	-40	120	717.914808
18	-40	-38	120	715.239465
19	-38	-36	120	711.874334
20	-36	-34	120	707.771044
21	-34	-32	120	702.863709
22	-32	-30	120	697.061896
23	-30	-28	120	690.236409
24	-28	-26	120	681.712948
25	-26	-24	94.875	675.140138
26	-24	-22	73.125	670.332699
27	-22	-20	60.125	666.42182
28	-20	-18	51	663.610979
29	-18	-16	43	661.71151
30	-16	-14	36.25	660.651216
31	-14	-12	30.625	660.306702
32	-12	-10	26.5	660.535634
33	-10	-8	23.125	661.199287
34	-8	-6	20.75	661.947774
35	-6	-4	19	662.682069
36	-4	-2	16	663.208802
37	-2	0	16	663.610811
38	0	2	15.125	663.860018
39	2	4	15	663.912087
40	4	6	17.25	663.931554
41	6	8	17.5	663.914011
42	8	10	17.375	663.922853
43	10	12	17.625	663.904965
44	12	14	18.875	663.907616
45	14	16	19.375	663.938221
46	16	18	22	663.904441
47	18	20	23.875	663.900302
48	20	22	25	663.91471
49	22	24	30	663.928152
50	24	26	41	663.979072
51	26	28	51.375	663.927328
52	28	30	27.375	663.749405
