F4 门(b) 圆盘区体积　W08／W06 × R48NMeshGateTests 门 a 快门的几何（盘径 28／29／30／30.25／30.75／31／31.01／32／34 × 舌半宽 30／28 × 片 0／1 × 导航／判决）
开跑 2026-09-23 15:43:36　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtC3　写码 2026-09-23，F4（C3）
门槛（跑前写死）：圆盘区体积 Σ 份额·面积·厚度（份额 = ShellThermal.DiscZoneShare，Solve 的分区账用的同一个函数）对参考积分 VolInDisc ≤ 0.1 %（= §0.-15N 门 a 的 VolTolPct）；逐格面积／体积和账 ≤ 4u；改回按格心的圆盘区体积至少一张网格超 0.1 %（否则本门空守，判红）。
舌半宽 > 盘半径的几何不进门（与门 a 同一规矩）。
设计	R	w	片	档	单元	切开格	参考 VolInDisc	份额账	Δ%	格心账	Δ格心%	逐格最大误差(u)	判读
W06	31.00	28.00	1	导航	1194	54	1820.137	1820.046	-0.0050	1850.047	+1.643	2.00	过
W06	31.00	28.00	1	判决	4342	106	1820.137	1820.046	-0.0050	1830.608	+0.575	1.23	过
W06	31.01	30.00	0	导航	1188	70	1139.657	1139.575	-0.0071	1144.983	+0.467	1.14	过
W06	31.01	30.00	0	判决	4472	132	1139.657	1139.575	-0.0071	1130.983	-0.761	1.14	过
W06	31.01	30.00	1	导航	1188	70	1867.275	1867.206	-0.0037	1876.537	+0.496	1.32	过
W06	31.01	30.00	1	判决	4472	134	1867.275	1867.206	-0.0037	1852.377	-0.798	1.32	过
W06	31.01	28.00	0	导航	1194	64	1118.089	1117.999	-0.0081	1136.450	+1.642	2.00	过
W06	31.01	28.00	0	判决	4344	124	1118.089	1117.999	-0.0081	1121.490	+0.304	2.00	过
W06	31.01	28.00	1	导航	1194	64	1823.176	1823.101	-0.0041	1855.063	+1.749	1.23	过
W06	31.01	28.00	1	判决	4344	126	1823.176	1823.101	-0.0041	1829.143	+0.327	2.00	过
W06	32.00	30.00	0	导航	1264	62	1435.440	1435.328	-0.0078	1424.004	-0.797	1.14	过
W06	32.00	30.00	0	判决	4678	128	1435.440	1435.328	-0.0078	1434.504	-0.065	1.14	过
W06	32.00	30.00	1	导航	1264	60	2158.828	2158.747	-0.0037	2139.199	-0.909	1.32	过
W06	32.00	30.00	1	判决	4678	130	2158.828	2158.747	-0.0037	2157.319	-0.070	1.32	过
W06	32.00	28.00	0	导航	1224	56	1458.124	1458.001	-0.0084	1440.775	-1.190	2.00	过
W06	32.00	28.00	0	判决	4546	122	1458.124	1458.001	-0.0084	1455.735	-0.164	1.07	过
W06	32.00	28.00	1	导航	1224	56	2196.223	2196.126	-0.0044	2166.263	-1.364	2.00	过
W06	32.00	28.00	1	判决	4546	122	2196.223	2196.126	-0.0044	2192.184	-0.184	1.23	过
W06	34.00	30.00	0	导航	1372	56	2211.514	2211.350	-0.0074	2222.858	+0.513	2.00	过
W06	34.00	30.00	0	判决	5118	114	2211.514	2211.350	-0.0074	2215.859	+0.196	2.00	过
W06	34.00	30.00	1	导航	1372	54	3004.578	3004.480	-0.0033	3024.312	+0.657	1.00	过
W06	34.00	30.00	1	判决	5118	114	3004.578	3004.480	-0.0032	3012.232	+0.255	2.00	过
W06	34.00	28.00	0	导航	1320	48	2369.376	2369.186	-0.0080	2364.590	-0.202	2.00	过
W06	34.00	28.00	0	判决	4936	108	2369.376	2369.186	-0.0080	2368.330	-0.044	2.00	过
W06	34.00	28.00	1	导航	1320	50	3181.324	3181.203	-0.0038	3173.184	-0.256	2.00	过
W06	34.00	28.00	1	判决	4936	108	3181.324	3181.203	-0.0038	3179.664	-0.052	2.00	过

合计 128 张网格，份额账不过 0 张；份额账最大 |Δ| 0.0264 %；几何不成立跳过 16 张
改回（按格心）：超 0.1 % 的 104 张，Δ 范围 -2.044 ～ +4.583 %（§0.-15N 门 a 记的是 −2.0～+4.6 %，那是全量扫描）
── 总耗时 70 s（与别的测试同机争用下量得）　2026-09-23，F4（C3）
