F4 门(b) 圆盘区体积　W08／W06 × R48NMeshGateTests 门 a 快门的几何（盘径 28／29／30／30.25／30.75／31／31.01／32／34 × 舌半宽 30／28 × 片 0／1 × 导航／判决）
开跑 2026-09-23 20:27:07　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtMRG　写码 2026-09-23，F4（C3）
门槛（跑前写死）：圆盘区体积 Σ 份额·面积·厚度（份额 = ShellThermal.DiscZoneShare，Solve 的分区账用的同一个函数）对参考积分 VolInDisc ≤ 0.1 %（= §0.-15N 门 a 的 VolTolPct）；逐格面积／体积和账 ≤ 4u；改回按格心的圆盘区体积至少一张网格超 0.1 %（否则本门空守，判红）。
舌半宽 > 盘半径的几何不进门（与门 a 同一规矩）。
★ 审查后（F4-M1）：每个 0 < 份额 < 1 的格独立判料（R48NMeshGateTests.CellVolExact）圆内、圆外各 > 1e-9 × 格有料体积；不收整的 DiscZoneShareRaw 在这一扫描上至少一格是舍入产物（否则空守，判红）。逐格和账 4u 是算术自检，按构造不会红，不算牙。
设计	R	w	片	档	单元	切开格	参考 VolInDisc	份额账	Δ%	格心账	Δ格心%	逐格最大误差(u，自检)	不收整切开格	其中舍入产物	独立判料最小一侧份额	判读
W08	30.75	28.00	0	导航	1070	48	1116.580	1116.843	+0.0235	1137.593	+1.882	1.84	68	20	1.162e-3	过
W08	30.75	28.00	0	判决	3864	94	1116.580	1116.843	+0.0236	1115.893	-0.061	2.00	124	30	1.515e-5	过
W08	30.75	28.00	1	导航	1070	48	1954.348	1954.826	+0.0245	1990.781	+1.864	1.06	70	22	1.162e-3	过
W08	30.75	28.00	1	判决	3864	94	1954.348	1954.827	+0.0245	1953.181	-0.060	2.00	124	30	1.515e-5	过
W08	31.00	30.00	0	导航	1124	54	1200.074	1200.294	+0.0183	1203.399	+0.277	1.00	64	10	7.766e-5	过
W08	31.00	30.00	0	判决	4090	108	1200.074	1200.294	+0.0184	1199.339	-0.061	1.97	124	16	3.814e-5	过
W08	31.00	30.00	1	导航	1124	54	2094.115	2094.518	+0.0192	2099.886	+0.276	1.14	64	10	7.766e-5	过
W08	31.00	30.00	1	判决	4090	108	2094.115	2094.518	+0.0193	2092.866	-0.060	1.14	124	16	3.814e-5	过
W08	31.00	28.00	0	导航	1074	46	1167.833	1168.098	+0.0227	1188.191	+1.743	1.84	56	10	5.200e-4	过
W08	31.00	28.00	0	判决	3922	94	1167.833	1168.098	+0.0227	1175.172	+0.628	1.84	110	16	2.608e-4	过
