格	x	z	r	T	J重构	厚	保温mm	L	proxy	区(0盘1舌)	前12	裕度
3918	16.5	22.5	27.902	1061.15	0.00018	1.1	20	2.302	9.2288E-18	0	0	1366515.00257
3919	16.5	23.5	28.714	1060.886	0.00021	1.1	20	3.114	1.3382E-17	0	0	839335.78789
3920	16.478	24.475	29.505	1060.756	0.00026	1.1	20	3.905	1.9459E-17	0	0	555614.58673
3921	16.195	25.126	29.893	1060.738	0.0003	1.1	20	4.293	2.6815E-17	0	0	430684.52822
3922	17.336	-24.241	29.802	1060.729	0.00021	1.1	20	4.202	1.271E-17	0	0	639091.67811
3923	17.5	-23.5	29.3	1060.765	0.00016	1.1	20	3.7	7.3548E-18	0	0	953457.59948
3924	17.5	-22.5	28.504	1060.93	0.00013	1.1	20	2.904	4.9743E-18	0	0	1475764.34481
3925	17.5	-21.5	27.722	1061.215	0.00011	1.1	20	2.122	3.3198E-18	0	0	2471130.29654
3926	17.5	-20.5	26.954	1061.618	0.00009	1.1065	20	1.354	2.2876E-18	0	0	4677934.9512
3927	17.559	-19.312	26.102	1062.143	0.00005	1.6302	20	1	1.053E-18	0	0	11327135.88819
3928	17.559	19.312	26.102	1062.143	0.00005	1.6302	20	1	1.053E-18	0	0	11327135.88819
3929	17.5	20.5	26.954	1061.618	0.00009	1.1065	20	1.354	2.2876E-18	0	0	4677934.9512
3930	17.5	21.5	27.722	1061.215	0.00011	1.1	20	2.122	3.3198E-18	0	0	2471130.29654
3931	17.5	22.5	28.504	1060.93	0.00013	1.1	20	2.904	4.9743E-18	0	0	1475764.34481
3932	17.5	23.5	29.3	1060.765	0.00016	1.1	20	3.7	7.3548E-18	0	0	953457.59948
3933	17.336	24.241	29.802	1060.729	0.00021	1.1	20	4.202	1.271E-17	0	0	639091.67811
3934	18.394	-23.349	29.723	1060.719	0.00012	1.1	20	4.123	4.4201E-18	0	0	1104257.7584
3935	18.5	-22.5	29.129	1060.779	0.0001	1.1	20	3.529	2.7202E-18	0	0	1643492.76737
3936	18.5	-21.5	28.364	1060.961	0.00008	1.1	20	2.764	1.7985E-18	0	0	2578866.28471
3937	18.5	-20.5	27.613	1061.25	0.00006	1.1	20	2.013	1.1902E-18	0	0	4349005.71526
3938	18.5	-19.5	26.879	1061.633	0.00005	1.112	20	1.279	6.8077E-19	0	0	9095534.72548
3939	18.509	-18.509	26.176	1061.902	0.00003	1.4852	20	1	3.1029E-19	0	0	19916982.74731
3940	18.509	18.509	26.176	1061.902	0.00003	1.4852	20	1	3.1029E-19	0	0	19916982.74731
3941	18.5	19.5	26.879	1061.633	0.00005	1.112	20	1.279	6.8077E-19	0	0	9095534.72548
3942	18.5	20.5	27.613	1061.25	0.00006	1.1	20	2.013	1.1902E-18	0	0	4349005.71526
3943	18.5	21.5	28.364	1060.961	0.00008	1.1	20	2.764	1.7985E-18	0	0	2578866.28471
3944	18.5	22.5	29.129	1060.779	0.0001	1.1	20	3.529	2.7202E-18	0	0	1643492.76737
3945	18.394	23.349	29.723	1060.719	0.00012	1.1	20	4.123	4.4201E-18	0	0	1104257.7584
3946	19.087	-23.072	29.944	1060.707	0.00009	1.1	20	4.344	2.4819E-18	0	0	1399194.62121
3947	19.422	-22.412	29.657	1060.713	0.00007	1.1	20	4.057	1.5614E-18	0	0	1888217.90082
3948	19.5	-21.5	29.026	1060.789	0.00006	1.1	20	3.426	1.0013E-18	0	0	2790059.02919
3949	19.5	-20.5	28.293	1060.974	0.00005	1.1	20	2.693	6.4217E-19	0	0	4428681.30261
